 , , ,F5D1T5,F5D1T10,F5D2T5,F5D2T10,F5D3T5,F5D3T10,F6D1T5,F6D1T10,F6D2T5,F6D2T10,F6D3T5,F6D3T10,F7D1T5,F7D1T10,F7D2T5,F7D2T10,F7D3T5,F7D3T10,F8D1T5,F8D1T10,F8D2T5,F8D2T10,F8D3T5,F8D3T10
Tmax300,\tau125,Min,0.01,0.22,0.05,0.81,0.14,10.33,0.04,0.45,0.10,0.99,0.18,10.02,0.01,0.25,0.02,0.70,0.11,10.41,0.05,0.53,0.06,1.49,0.16,10.30
Tmax300,\tau125,Avg,0.07,1.34,0.19,29.37,0.40,21.15,0.09,1.57,0.24,13.77,0.38,17.89,0.05,1.06,0.15,29.54,0.26,13.70,0.08,2.05,0.18,12.47,0.27,14.57
Tmax300,\tau125,StdDev,0.04,2.10,0.09,63.71,0.21,15.35,0.03,0.89,0.08,13.22,0.14,7.08,0.03,1.01,0.08,48.08,0.09,7.16,0.02,1.55,0.05,9.24,0.07,6.98
Tmax300,\tau125,Max,0.13,7.41,0.41,6.86,0.91,9.94,0.15,3.03,0.40,6.99,0.66,5.76,0.09,3.29,0.26,5.28,0.38,6.13,0.12,5.22,0.27,9.16,0.39,9.19
Tmax300,\tau150,Min,0.05,0.33,0.12,10.98,0.32,13.93,0.07,1.52,0.11,10.55,0.37,11.46,0.01,0.40,0.09,12.83,0.18,10.19,0.07,1.71,0.09,12.74,0.20,10.49
Tmax300,\tau150,Avg,0.09,2.51,0.28,18.37,0.53,34.11,0.11,4.30,0.25,27.39,0.55,32.06,0.06,2.74,0.23,57.98,0.34,48.36,0.09,4.35,0.22,21.71,0.32,33.32
Tmax300,\tau150,StdDev,0.04,1.51,0.23,14.52,0.19,17.72,0.03,2.30,0.09,16.48,0.17,19.72,0.04,1.32,0.12,68.26,0.08,49.37,0.02,2.23,0.07,12.03,0.07,14.00
Tmax300,\tau150,Max,0.16,5.72,0.92,9.58,0.88,9.55,0.17,7.62,0.39,8.69,0.85,80.93,0.11,4.25,0.51,7.47,0.48,80.33,0.11,7.30,0.32,6.12,0.43,50.09
Tmax450,\tau50,Min,0.00,0.01,0.00,0.01,0.01,0.01,0.01,0.02,0.01,0.02,0.01,0.03,0.00,0.01,0.00,0.01,0.01,0.01,0.00,0.02,0.00,0.02,0.01,0.03
Tmax450,\tau50,Avg,0.02,0.07,0.02,0.01,0.09,0.17,0.03,0.11,0.02,0.06,0.07,0.26,0.01,0.06,0.02,0.01,0.04,0.30,0.02,0.09,0.01,0.05,0.06,0.24
Tmax450,\tau50,StdDev,0.03,0.08,0.04,0.00,0.07,0.13,0.03,0.08,0.02,0.04,0.05,0.27,0.01,0.11,0.04,0.01,0.04,0.51,0.02,0.08,0.01,0.02,0.04,0.21
Tmax450,\tau50,Max,0.09,0.29,0.11,0.02,0.18,0.43,0.12,0.28,0.07,0.14,0.15,0.95,0.04,0.40,0.13,0.04,0.12,1.78,0.07,0.31,0.03,0.10,0.12,0.70
Tmax450,\tau75,Min,0.00,0.01,0.01,0.02,0.05,0.08,0.01,0.04,0.01,0.09,0.09,0.24,0.00,0.01,0.01,0.01,0.02,0.08,0.01,0.04,0.01,0.06,0.02,0.19
Tmax450,\tau75,Avg,0.04,0.10,0.03,0.16,0.16,1.25,0.05,0.28,0.05,0.21,0.14,2.68,0.03,0.08,0.04,0.12,0.11,0.71,0.04,0.20,0.07,0.23,0.14,2.22
Tmax450,\tau75,StdDev,0.04,0.05,0.03,0.14,0.11,2.44,0.03,0.21,0.03,0.12,0.05,3.84,0.02,0.07,0.03,0.11,0.07,1.00,0.03,0.10,0.04,0.14,0.08,3.27
Tmax450,\tau75,Max,0.10,0.20,0.09,0.55,0.37,8.26,0.09,0.72,0.10,0.47,0.26,7.02,0.07,0.26,0.08,0.39,0.21,3.19,0.08,0.36,0.14,0.46,0.26,6.76
Tmax450,\tau100,Min,0.01,0.07,0.01,0.20,0.07,0.27,0.05,0.18,0.02,0.33,0.07,1.64,0.01,0.07,0.01,0.08,0.05,0.20,0.04,0.18,0.02,0.44,0.07,0.85
Tmax450,\tau100,Avg,0.10,0.20,0.13,4.55,0.21,3.44,0.10,0.69,0.17,3.77,0.24,4.23,0.05,0.22,0.07,1.60,0.14,2.76,0.07,0.71,0.13,4.76,0.19,4.22
Tmax450,\tau100,StdDev,0.06,0.09,0.06,6.51,0.16,3.30,0.06,0.36,0.07,3.49,0.16,1.72,0.03,0.18,0.04,1.74,0.08,2.10,0.03,0.44,0.07,6.31,0.09,2.63
Tmax450,\tau100,Max,0.24,0.35,0.23,3.91,0.63,9.53,0.24,1.50,0.25,9.64,0.64,7.56,0.10,0.74,0.13,5.61,0.27,6.38,0.12,1.75,0.27,5.97,0.38,9.49
Tmax450,\tau125,Min,0.01,0.19,0.08,1.76,0.13,10.48,0.05,0.64,0.09,1.20,0.21,10.18,0.01,0.18,0.02,1.54,0.11,10.08,0.04,0.58,0.06,1.92,0.19,13.75
Tmax450,\tau125,Avg,0.08,1.32,0.20,39.19,0.43,25.23,0.11,1.60,0.23,11.50,0.37,18.63,0.07,1.06,0.16,19.42,0.31,17.38,0.09,1.68,0.20,13.39,0.30,17.92
Tmax450,\tau125,StdDev,0.04,2.10,0.11,94.17,0.26,33.95,0.04,0.86,0.09,8.53,0.10,10.44,0.03,0.96,0.08,26.79,0.15,12.40,0.03,0.83,0.08,11.70,0.07,8.49
Tmax450,\tau125,Max,0.14,7.44,0.47,6.94,1.02,4.14,0.17,2.94,0.35,9.60,0.56,6.63,0.12,3.03,0.26,89.47,0.55,7.78,0.15,2.90,0.29,6.73,0.43,8.22
Tmax450,\tau150,Min,0.06,0.46,0.15,10.29,0.29,11.32,0.06,1.88,0.11,10.45,0.36,14.72,0.02,0.36,0.09,10.64,0.24,101.50,0.07,1.44,0.13,14.36,0.21,12.51
Tmax450,\tau150,Avg,0.09,2.27,0.31,20.66,0.55,35.06,0.10,3.24,0.29,24.95,0.51,30.60,0.07,3.14,0.26,50.12,0.41,48.21,0.12,4.91,0.25,27.30,0.39,61.00
Tmax450,\tau150,StdDev,0.02,1.07,0.19,14.38,0.19,23.57,0.03,1.40,0.12,13.48,0.19,20.45,0.03,1.32,0.16,60.25,0.12,39.76,0.04,3.61,0.10,10.47,0.14,64.34
Tmax450,\tau150,Max,0.13,3.90,0.79,8.80,0.97,91.54,0.17,6.18,0.55,47.88,1.04,78.38,0.13,4.77,0.61,9.48,0.62,46.93,0.18,6.91,0.44,49.65,0.73,94.77
Tmax600,\tau50,Min,0.00,0.01,0.00,0.01,0.01,0.01,0.01,0.02,0.01,0.02,0.01,0.03,0.00,0.01,0.00,0.01,0.01,0.01,0.01,0.02,0.00,0.02,0.01,0.03
Tmax600,\tau50,Avg,0.04,0.07,0.01,0.02,0.08,0.15,0.02,0.10,0.02,0.05,0.06,0.27,0.01,0.07,0.00,0.02,0.05,0.27,0.02,0.11,0.01,0.05,0.06,0.20
Tmax600,\tau50,StdDev,0.05,0.08,0.02,0.01,0.06,0.15,0.02,0.09,0.04,0.04,0.05,0.28,0.01,0.14,0.00,0.01,0.03,0.44,0.02,0.08,0.00,0.03,0.04,0.15
Tmax600,\tau50,Max,0.16,0.29,0.07,0.04,0.17,0.48,0.07,0.33,0.13,0.15,0.19,0.99,0.04,0.47,0.01,0.05,0.12,1.56,0.06,0.28,0.02,0.12,0.13,0.53
Tmax600,\tau75,Min,0.00,0.01,0.01,0.02,0.08,0.08,0.01,0.04,0.01,0.08,0.04,0.21,0.00,0.01,0.01,0.01,0.03,0.09,0.01,0.04,0.01,0.08,0.05,0.23
Tmax600,\tau75,Avg,0.06,0.09,0.03,0.17,0.17,1.31,0.04,0.21,0.07,0.28,0.14,1.96,0.03,0.08,0.03,0.13,0.11,0.81,0.04,0.19,0.05,0.26,0.14,2.72
Tmax600,\tau75,StdDev,0.05,0.04,0.03,0.14,0.10,2.56,0.03,0.10,0.04,0.20,0.07,2.51,0.03,0.05,0.02,0.14,0.07,1.14,0.02,0.10,0.02,0.16,0.08,3.94
Tmax600,\tau75,Max,0.15,0.14,0.12,0.50,0.36,8.69,0.09,0.40,0.12,0.75,0.26,8.81,0.08,0.22,0.07,0.50,0.24,3.19,0.07,0.41,0.08,0.58,0.27,11.01
Tmax600,\tau100,Min,0.01,0.08,0.01,0.17,0.03,0.39,0.05,0.27,0.02,0.37,0.08,1.13,0.01,0.08,0.01,0.09,0.03,0.19,0.03,0.16,0.02,0.51,0.09,1.08
Tmax600,\tau100,Avg,0.09,0.21,0.10,5.49,0.21,3.37,0.08,0.80,0.15,3.64,0.25,4.44,0.06,0.24,0.07,1.70,0.15,2.98,0.08,0.77,0.14,5.18,0.19,3.69
Tmax600,\tau100,StdDev,0.05,0.09,0.05,9.12,0.18,3.36,0.02,0.46,0.07,3.48,0.18,3.06,0.03,0.22,0.05,1.91,0.11,2.49,0.03,0.43,0.07,7.21,0.09,2.25
Tmax600,\tau100,Max,0.18,0.33,0.16,30.57,0.62,8.76,0.11,1.88,0.24,7.15,0.68,8.79,0.10,0.88,0.17,5.37,0.33,7.73,0.14,1.86,0.27,6.14,0.41,7.43
Tmax600,\tau125,Min,0.01,0.20,0.08,1.79,0.14,10.01,0.05,0.49,0.07,0.75,0.22,10.32,0.01,0.18,0.02,120.16,0.13,11.45,0.04,0.35,0.05,0.81,0.18,11.75
Tmax600,\tau125,Avg,0.08,1.29,0.19,39.05,0.49,29.67,0.12,1.77,0.20,11.79,0.40,16.73,0.05,1.04,0.16,29.29,0.41,23.08,0.10,1.47,0.19,15.17,0.29,18.42
Tmax600,\tau125,StdDev,0.04,1.91,0.10,99.71,0.29,43.47,0.05,1.12,0.09,8.79,0.12,7.51,0.03,0.97,0.09,40.29,0.22,14.50,0.04,0.62,0.07,12.70,0.11,9.50
Tmax600,\tau125,Max,0.17,6.81,0.37,8.66,0.99,8.70,0.23,3.99,0.35,9.72,0.59,8.77,0.11,3.28,0.27,94.64,0.84,9.04,0.20,2.27,0.29,9.11,0.53,8.37
Tmax600,\tau150,Min,0.04,0.30,0.11,11.32,0.28,13.31,0.08,1.66,0.09,13.30,0.34,14.77,0.01,0.43,0.13,10.49,0.34,18.76,0.08,1.63,0.14,13.37,0.28,115.73
Tmax600,\tau150,Avg,0.09,2.17,0.27,20.56,0.64,31.63,0.12,4.44,0.29,27.84,0.52,26.56,0.07,2.69,0.30,75.34,0.53,125.67,0.12,4.26,0.26,30.42,0.50,66.80
Tmax600,\tau150,StdDev,0.05,1.08,0.24,16.39,0.26,15.28,0.04,2.38,0.10,19.21,0.21,13.67,0.05,1.11,0.15,99.28,0.18,162.29,0.03,2.03,0.10,14.28,0.21,43.16
Tmax600,\tau150,Max,0.21,3.62,0.94,9.18,1.20,9.45,0.20,7.74,0.39,75.70,1.10,8.02,0.16,3.94,0.59,84.38,0.85,93.04,0.17,7.23,0.47,55.52,1.04,76.49
