 , , ,F1,F1,F1,F1,F1,F1,F2,F2,F2,F2,F2,F2,F3,F3,F3,F3,F3,F3,F4,F4,F4,F4,F4,F4
 , , ,D1,D1,D2,D2,D3,D3,D1,D1,D2,D2,D3,D3,D1,D1,D2,D2,D3,D3,D1,D1,D2,D2,D3,D3
 , , ,T5,T10,T5,T10,T5,T10,T5,T10,T5,T10,T5,T10,T5,T10,T5,T10,T5,T10,T5,T10,T5,T10,T5,T10
Tmax75,tau100,Iter2,0.00,0.01,0.01,0.01,0.01,0.06,0.01,0.01,0.00,0.01,0.01,0.02,0.00,0.01,0.01,0.01,0.01,0.02,0.00,0.01,0.01,0.01,0.01,0.02
Tmax75,tau100,Iter3,0.00,0.02,0.01,0.02,0.01,0.12,0.00,0.02,0.00,0.02,0.01,0.11,0.00,0.10,0.00,0.02,0.01,0.09,0.00,0.07,0.01,0.02,0.01,0.10
Tmax75,tau100,Iter4,0.00,0.14,0.00,0.02,0.01,0.05,0.00,0.14,0.00,0.02,0.00,0.03,0.00,0.04,0.00,0.02,0.01,0.07,0.00,0.05,0.00,0.04,0.01,0.03
Tmax75,tau100,Iter5,0.01,0.12,0.01,0.04,0.01,0.09,0.01,0.16,0.01,0.02,0.01,0.12,0.01,0.04,0.01,0.01,0.01,0.12,0.01,0.09,0.01,0.02,0.01,0.10
Tmax75,tau100,Iter6,0.01,0.03,0.04,0.09,0.06,0.12,0.02,0.03,0.09,0.16,0.05,0.09,0.01,0.02,0.01,0.03,0.02,0.12,0.01,0.02,0.04,0.05,0.09,0.04
Tmax75,tau100,Iter7,0.07,0.06,0.01,0.02,0.04,0.23,0.08,0.06,0.01,0.02,0.12,0.25,0.05,0.08,0.01,0.02,0.02,0.24,0.01,0.05,0.01,0.02,0.04,0.23
Tmax75,tau100,Iter8,0.08,0.10,0.09,0.07,0.15,0.14,0.08,0.11,0.01,0.10,0.04,0.23,0.02,0.10,0.01,0.13,0.01,0.17,0.06,0.12,0.01,0.10,0.01,0.15
Tmax75,tau100,Iter9,0.11,0.11,0.01,0.12,0.02,0.03,0.09,0.11,0.02,0.07,0.04,0.09,0.02,0.04,0.01,0.08,0.02,0.03,0.02,0.06,0.01,0.09,0.06,0.08
Tmax75,tau125,Iter0,0.07,0.16,0.01,0.18,0.07,0.29,0.07,0.31,0.01,0.12,0.08,0.49,0.01,0.28,0.01,0.33,0.01,0.27,0.05,0.19,0.01,0.37,0.01,0.32
Tmax75,tau125,Iter1,0.08,0.09,0.09,0.12,0.09,0.17,0.10,0.06,0.07,0.04,0.07,0.08,0.02,0.02,0.04,0.08,0.04,0.05,0.02,0.06,0.01,0.11,0.02,0.07
Tmax75,tau125,Iter2,0.00,0.01,0.01,0.01,0.01,0.02,0.01,0.01,0.00,0.01,0.01,0.02,0.00,0.01,0.01,0.01,0.01,0.02,0.00,0.01,0.01,0.01,0.01,0.02
Tmax75,tau125,Iter3,0.00,0.02,0.01,0.02,0.01,0.17,0.00,0.02,0.00,0.02,0.01,0.11,0.00,0.10,0.01,0.02,0.01,0.09,0.00,0.03,0.01,0.02,0.01,0.07
