Instance,Task count,Recharge count,Distance,Travelled,by each,robot
F1R2D3T5Delta150Tmax600Iter3,3,1,0,655.2796079,,
F1R2D3T5Delta150Tmax600Iter4,3,2,0,606.0156254,,
F1R2D3T5Delta150Tmax600Iter5,3,1,355.8478529,103.2793984,,
F1R2D3T5Delta150Tmax600Iter6,3,0,412.4772801,0,,
F1R2D3T5Delta150Tmax600Iter7,2,0,0,277.5787292,,
F1R2D3T5Delta150Tmax600Iter8,3,0,476.7628583,0,,
F1R2D3T5Delta150Tmax600Iter9,2,0,0,381.7847903,,
F1R2D3T10Delta50Tmax150Iter0,3,0,30.76255577,91.49110301,,
F1R2D3T10Delta50Tmax150Iter1,2,0,19.70964383,9.513519702,,
F1R2D3T10Delta50Tmax150Iter2,0,0,0,0,,
F1R2D3T10Delta50Tmax150Iter3,1,0,0,21.20778418,,
F1R2D3T10Delta50Tmax150Iter4,1,0,0,24.02059259,,
F1R2D3T10Delta50Tmax150Iter5,3,2,19.44380011,126.8300609,,
F1R2D3T10Delta50Tmax150Iter6,2,1,0,110.0554323,,
F1R2D3T10Delta50Tmax150Iter7,1,0,47.54840244,0,,
F1R2D3T10Delta50Tmax150Iter8,4,0,20.40255065,120.1569327,,
F1R2D3T10Delta50Tmax150Iter9,3,2,167.1296876,23.27938572,,
F1R2D3T10Delta50Tmax300Iter0,3,0,30.76255577,91.49110301,,
F1R2D3T10Delta50Tmax300Iter1,2,0,0,29.22316354,,
F1R2D3T10Delta50Tmax300Iter2,0,0,0,0,,
F1R2D3T10Delta50Tmax300Iter3,1,0,21.20778418,0,,
F1R2D3T10Delta50Tmax300Iter4,1,0,0,24.02059259,,
F1R2D3T10Delta50Tmax300Iter5,3,2,19.44380011,126.8300609,,
F1R2D3T10Delta50Tmax300Iter6,2,1,110.0554323,0,,
F1R2D3T10Delta50Tmax300Iter7,1,0,47.54840244,0,,
F1R2D3T10Delta50Tmax300Iter8,4,0,20.40255065,120.1569327,,
F1R2D3T10Delta50Tmax300Iter9,3,1,190.4090733,0,,
F1R2D3T10Delta50Tmax600Iter0,3,0,122.2536588,0,,
F1R2D3T10Delta50Tmax600Iter1,2,0,0,29.22316354,,
F1R2D3T10Delta50Tmax600Iter2,0,0,0,0,,
F1R2D3T10Delta50Tmax600Iter3,1,0,21.20778418,0,,
F1R2D3T10Delta50Tmax600Iter4,1,0,0,24.02059259,,
F1R2D3T10Delta50Tmax600Iter5,3,1,101.8300609,19.44380011,,
F1R2D3T10Delta50Tmax600Iter6,2,1,110.0554323,0,,
F1R2D3T10Delta50Tmax600Iter7,1,0,47.54840244,0,,
F1R2D3T10Delta50Tmax600Iter8,4,0,20.40255065,120.1569327,,
F1R2D3T10Delta50Tmax600Iter9,3,1,0,190.4090733,,
F1R2D3T10Delta75Tmax150Iter0,2,0,0,140.4323761,,
F1R2D3T10Delta75Tmax150Iter1,3,1,14.36013423,154.4142609,,
F1R2D3T10Delta75Tmax150Iter2,2,2,26.92506131,181.5990345,,
F1R2D3T10Delta75Tmax150Iter3,2,0,26.20618895,59.427158,,
F1R2D3T10Delta75Tmax150Iter4,3,2,148.460419,106.6009445,,
F1R2D3T10Delta75Tmax150Iter5,3,0,114.3012018,29.76953254,,
F1R2D3T10Delta75Tmax150Iter6,3,0,57.44352872,103.6656182,,
F1R2D3T10Delta75Tmax150Iter7,3,2,106.1591844,194.9557997,,
F1R2D3T10Delta75Tmax150Iter8,4,1,242.5359172,25.26629299,,
F1R2D3T10Delta75Tmax150Iter9,4,0,66.84194382,168.2124536,,
